icd11_code,icd11_title,icd11_uri,browser_link,pool_tier
MB24.A,Fear,http://id.who.int/icd/entity/1096385425,https://icd.who.int/browse/2025-01/mms/en#1096385425,A
MB24.B,Feelings of guilt,http://id.who.int/icd/entity/487481744,https://icd.who.int/browse/2025-01/mms/en#487481744,A
MB24.C,Irritability,http://id.who.int/icd/entity/2140272684,https://icd.who.int/browse/2025-01/mms/en#2140272684,A
MB24.D,Leaden paralysis,http://id.who.int/icd/entity/1189315647,https://icd.who.int/browse/2025-01/mms/en#1189315647,A
MB24.E,Mental rumination,http://id.who.int/icd/entity/1248345308,https://icd.who.int/browse/2025-01/mms/en#1248345308,A
MB24.F,Restlessness,http://id.who.int/icd/entity/496629459,https://icd.who.int/browse/2025-01/mms/en#496629459,A
MB24.G,Tantrum,http://id.who.int/icd/entity/2033724521,https://icd.who.int/browse/2025-01/mms/en#2033724521,A
MB24.H,Worry,http://id.who.int/icd/entity/2143265241,https://icd.who.int/browse/2025-01/mms/en#2143265241,A
MB25.00,Circumstantiality,http://id.who.int/icd/entity/180029677,https://icd.who.int/browse/2025-01/mms/en#180029677,A
MB25.01,Tangentiality,http://id.who.int/icd/entity/1035925984,https://icd.who.int/browse/2025-01/mms/en#1035925984,A
MB25.02,Disorganised thinking,http://id.who.int/icd/entity/1746204479,https://icd.who.int/browse/2025-01/mms/en#1746204479,A
MB25.03,Incoherence,http://id.who.int/icd/entity/1937621077,https://icd.who.int/browse/2025-01/mms/en#1937621077,A
MB25.1,Flight of ideas,http://id.who.int/icd/entity/2099706633,https://icd.who.int/browse/2025-01/mms/en#2099706633,A
MB25.2,Neologisms,http://id.who.int/icd/entity/680326614,https://icd.who.int/browse/2025-01/mms/en#680326614,A
MB25.3,Thought blocking,http://id.who.int/icd/entity/2103751657,https://icd.who.int/browse/2025-01/mms/en#2103751657,A
MB26.00,Bizarre delusion,http://id.who.int/icd/entity/1466049255,https://icd.who.int/browse/2025-01/mms/en#1466049255,A
MB26.01,Delusion of being controlled,http://id.who.int/icd/entity/1240694797,https://icd.who.int/browse/2025-01/mms/en#1240694797,A
MB26.02,Delusion of guilt,http://id.who.int/icd/entity/1997906501,https://icd.who.int/browse/2025-01/mms/en#1997906501,A
MB26.03,Delusion of reference,http://id.who.int/icd/entity/922964532,https://icd.who.int/browse/2025-01/mms/en#922964532,A
