rxcui,generic_name,has_label,product_type,rela,condition_name,indications_and_usage,faers_side_effects
19759,bromodiphenhydramine,False,Discontinued/Withdrawn,ci_with,"Drug Hypersensitivity; Infant, Newborn; Infant, Premature",,
19759,bromodiphenhydramine,False,Discontinued/Withdrawn,may_treat,"Anxiety Disorders; Cough; Motion Sickness; Nausea; Parkinson Disease; Rhinitis, Allergic, Perennial; Sleep Initiation and Maintenance Disorders; Urticaria; Vertigo; Vomiting",,
19777,bromperidol,False,Non-US,may_treat,Psychotic Disorders; Schizophrenia Spectrum and Other Psychotic Disorders,,
477631,butabarbital,False,Discontinued/Withdrawn,ci_with,Drug Hypersensitivity; Porphyrias; Pregnancy,,
477631,butabarbital,False,Discontinued/Withdrawn,may_treat,Sleep Initiation and Maintenance Disorders,,
19874,butobarbital,False,Non-US,may_treat,Sleep Initiation and Maintenance Disorders,,
2372,chlormethiazole,False,Discontinued/Withdrawn,may_treat,Parkinson Disease; Psychomotor Agitation; Sleep Initiation and Maintenance Disorders; Substance Withdrawal Syndrome,,
2373,chlormezanone,False,Discontinued/Withdrawn,ci_with,Drug Hypersensitivity,,
2373,chlormezanone,False,Discontinued/Withdrawn,may_treat,Anxiety Disorders; Muscle Spasticity,,
2406,chlorprothixene,False,Discontinued/Withdrawn,ci_with,Coma; Drug Hypersensitivity,,
2406,chlorprothixene,False,Discontinued/Withdrawn,may_treat,"Psychotic Disorders; Schizophrenia, Paranoid",,
2603,clopamide,False,Non-US,may_treat,Anxiety Disorders,,
2622,clotiazepam,False,Non-US,may_treat,Anxiety Disorders,,
62174,deserpidine,False,Discontinued/Withdrawn,ci_with,"Colitis, Ulcerative; Depressive Disorder; Drug Hypersensitivity; Hypotension; Peptic Ulcer",,
62174,deserpidine,False,Discontinued/Withdrawn,may_treat,Dyskinesias; Hypertension; Schizophrenia,,
3332,dibenzepin,False,Non-US,may_treat,Depressive Disorder,,
1598,dicumarol,False,Obsolete,ci_with,"Abortion, Threatened; Alcoholism; Aneurysm; Ascorbic Acid Deficiency; Carcinoma; Cerebral Hemorrhage; Diverticulitis; Drug Hypersensitivity; Eclampsia; Emaciation; Endocarditis, Bacterial; Gastrointestinal Hemorrhage; Hemophilia A; Hemophilia B; Hypertension, Malignant; Leukemia; Liver Diseases; Pericardial Effusion; Pericarditis; Postoperative Hemorrhage; Pre-Eclampsia; Pregnancy; Prostatic Diseases; Protein-Energy Malnutrition; Purpura, Thrombocytopenic; Vitamin K Deficiency",,
1598,dicumarol,False,Obsolete,may_prevent,Pulmonary Embolism; Thromboembolism; Venous Thrombosis,,
1598,dicumarol,False,Obsolete,may_treat,Pulmonary Embolism; Thromboembolism; Venous Thrombosis,,
3403,digitoxin,False,Discontinued/Withdrawn,ci_with,"Amyloidosis; Cardiomyopathy, Hypertrophic; Drug Hypersensitivity; Heart Block; Pericarditis, Constrictive; Tachycardia, Ventricular; Ventricular Fibrillation",,
3403,digitoxin,False,Discontinued/Withdrawn,may_prevent,Heart Failure,,
3403,digitoxin,False,Discontinued/Withdrawn,may_treat,"Anxiety Disorders; Atrial Fibrillation; Atrial Flutter; Cardiac Output, Low; Heart Failure; Shock, Cardiogenic; Tachycardia, Supraventricular",,
203223,digoxin antibodies Fab fragments,False,Combination ingredient,ci_with,Drug Hypersensitivity,,
203223,digoxin antibodies Fab fragments,False,Combination ingredient,may_prevent,"Abnormalities, Drug-Induced; Drug Overdose; Drug-Related Side Effects and Adverse Reactions",,
203223,digoxin antibodies Fab fragments,False,Combination ingredient,may_treat,Drug Overdose; Drug-Related Side Effects and Adverse Reactions,,
3415,dihydroergocornine,False,Combination ingredient,ci_with,"Abortion, Threatened; Drug Hypersensitivity; Pregnancy; Psychotic Disorders",,
3415,dihydroergocornine,False,Combination ingredient,may_prevent,Postpartum Hemorrhage,,
3415,dihydroergocornine,False,Combination ingredient,may_treat,Postpartum Hemorrhage,,
3416,dihydroergocristine,False,Combination ingredient,ci_with,"Abortion, Threatened; Drug Hypersensitivity; Pregnancy; Psychotic Disorders",,
3416,dihydroergocristine,False,Combination ingredient,may_prevent,Postpartum Hemorrhage,,
3416,dihydroergocristine,False,Combination ingredient,may_treat,Postpartum Hemorrhage,,
3417,dihydroergocryptine,False,Combination ingredient,ci_with,"Abortion, Threatened; Drug Hypersensitivity; Pregnancy; Psychotic Disorders",,
3417,dihydroergocryptine,False,Combination ingredient,may_prevent,Migraine Disorders; Postpartum Hemorrhage,,
3417,dihydroergocryptine,False,Combination ingredient,may_treat,Hypotension; Parkinson Disease; Postpartum Hemorrhage,,
3634,dothiepin,False,Non-US,may_treat,Depressive Disorder,,
3755,edetic acid,False,Combination ingredient,ci_with,Anuria; Kidney Diseases; Lactation; Pregnancy; Renal Insufficiency,,
3755,edetic acid,False,Combination ingredient,may_prevent,Lead Poisoning,,
3755,edetic acid,False,Combination ingredient,may_treat,"Drug Overdose; Drug-Related Side Effects and Adverse Reactions; Hypercalcemia; Manganese Poisoning; Tachycardia, Ventricular; Ventricular Fibrillation",,
4024,"ergoloid mesylates, USP",False,Discontinued/Withdrawn,ci_with,Drug Hypersensitivity; Psychotic Disorders,,
4024,"ergoloid mesylates, USP",False,Discontinued/Withdrawn,may_treat,Cognitive Dysfunction,,
